,Pre Processing,Infrence,Reloading CPU,Post Processing,Tracking Frames,Internal Pipeline,Full Pipeline
average,0.00026996730499765276,0.013525922466136391,0.0006744511910313596,0.0007599252685662809,0.00012377393741236462,0.015391405885098922,0.027210477081386353
max,0.016000000000076398,0.032000000000152795,0.016000000000076398,0.016000000000076398,0.016000000000076398,0.047000000000025466,0.06199999999989814
min,0.0,0.0,0.0,0.0,0.0,0.0,0.01499999999987267
