,Pre Processing,Infrence,Post Processing,Tracking Frames,Internal Pipeline,Full Pipeline
average,0.0006501336501334033,0.010822393822393542,0.0005824175824178901,0.00010216810216815106,0.012171369171369068,0.017027942925091792
max,0.016000000000076398,0.031000000000062755,0.016000000000076398,0.016000000000076398,0.047000000000025466,0.047000000000025466
min,0.0,0.0,0.0,0.0,0.0,0.0
