,Pre Processing,Infrence,Post Processing,Tracking Frames,Internal Pipeline,Full Pipeline,Tracking Digit
average,0.00029547325102612375,0.00798600823067535,0.0015818930041799973,0.0009209876540385248,0.017153909465263562,0.037719471946054385,0.010940909091203304
max,0.01600000000325963,0.01600000000325963,0.01600000000325963,0.01600000000325963,0.045999999972991645,0.061999999976251274,0.01600000000325963
min,0.0,0.0,0.0,0.0,0.0,0.014999999955762178,0.0
