,Pre Processing,Infrence,Post Processing,Internal Pipeline,Tracking Frames,Full Pipeline
average,0.0003337889554642524,0.008734007654239323,0.0028829961727964482,0.01260060142112632,0.0006235647894276083,0.015960065645794434
max,0.01600000006146729,0.01600000006146729,0.01600000006146729,0.030999999959021807,0.01600000006146729,0.0470000000204891
min,0.0,0.0,0.0,0.0,0.0,0.0
