,Pre Processing,Infrence,Tracking Frames,Internal Pipeline,Full Pipeline,Tracking Digit
average,0.00024686024050629907,0.04289962973417717,6.710922784812203e-05,0.04591996303797468,0.055634972578947374,0.04476433349999942
max,0.000998916999999544,0.0693684999999995,0.002446250000000205,0.1713277919999996,0.18201895900000054,0.13195037500000062
min,0.00013691699999984763,0.026504584000000442,1.0458000000213019e-05,0.02669354100000021,0.033307791000000364,0.036832666999998764
