,Pre Processing,Infrence,Post Processing,Internal Pipeline,Tracking Frames,Full Pipeline
average,0.0012725310305136477,0.010036157584848176,0.0015375067454652686,0.013511063143220432,0.0006216945496945166,0.03128648650140275
max,0.01600000006146729,0.030999999959021807,0.01600000006146729,0.03100000007543713,0.01600000006146729,0.06299999996554106
min,0.0,0.0,0.0,0.0,0.0,0.015000000013969839
