,Pre Processing,Infrence,Post Processing,Tracking Frames,Internal Pipeline,Full Pipeline
average,0.0005123655913982025,0.01490376344085875,0.0015779569892469157,0.0005333333333342907,0.017570430107526413,0.0315317545748306
max,0.016000000000076398,0.047000000000025466,0.016000000000076398,0.016000000000076398,0.047000000000025466,0.047000000000025466
min,0.0,0.0,0.0,0.0,0.0,0.015000000000100044
