,Pre Processing,Infrence,Tracking Frames,Internal Pipeline,Full Pipeline,Tracking Digit
average,0.0001472773670886736,0.03884950051898738,4.396363291143061e-05,0.04121949577215188,0.04699885076315797,0.040552687749999095
max,0.00019533299999974219,0.043975374999999595,0.0013751250000000326,0.10627345900000051,0.1148735830000005,0.06970691699999954
min,0.00010379199999999145,0.0348337919999997,8.041000000069687e-06,0.03500749999999986,0.039123250000000276,0.040024124999998634
