,Pre Processing,Infrence,Post Processing,Tracking Frames,Internal Pipeline,Full Pipeline,Tracking Digit
average,0.00027983539082385877,0.008320164608284294,0.001504526749050145,0.0009711934156321112,0.017570370369841853,0.038310231022838745,0.011262121212591106
max,0.01600000000325963,0.01600000000325963,0.01600000000325963,0.01600000000325963,0.0470000000204891,0.06300000002374873,0.01600000000325963
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
