,Pre Processing,Infrence,Post Processing,Tracking Frames,Internal Pipeline,Full Pipeline
average,0.00041654613832136283,0.009517789991403585,0.002039629736557465,0.0005024587791434621,0.012531964130573555,0.016005211350544165
max,0.01600000006146729,0.030999999959021807,0.01600000006146729,0.01600000006146729,0.03100000007543713,0.045999999972991645
min,0.0,0.0,0.0,0.0,0.0,0.0
