,Pre Processing,Infrence,Post Processing,Internal Pipeline,Visualize,Tracking Frames,Full Pipeline
average,0.0009196969698126795,0.006635353535195022,0.002196464646076125,0.015088383838736612,0.0030363636368278867,0.002261111111382512,0.029580384229203446
max,0.01600000006146729,0.01600000006146729,0.01600000006146729,0.0470000000204891,0.03100000007543713,0.03200000000651926,0.06300000008195639
min,0.0,0.0,0.0,0.0,0.0,0.0,0.015000000013969839
