,Pre Processing,Infrence,Post Processing,Tracking Frames,Internal Pipeline,Full Pipeline,Tracking Digit
average,0.0,0.006615384615612969,0.0030000000000514914,0.0,0.01919230769188009,1.0415833333336195,0.01207142856999001
max,0.0,0.01600000000325963,0.01600000000325963,0.0,0.031000000002677552,1.0619999999980791,0.01599999999598367
min,0.0,0.0,0.0,0.0,0.0,1.0309999999954016,0.0
