,Pre Processing,Infrence,Post Processing,Internal Pipeline,Tracking Frames,Full Pipeline
average,0.008196319012754123,0.3322392638038524,0.0036625766882421506,0.3445705521424684,0.0003803680976567093,0.36186419753214044
max,0.01600000006146729,0.734000000054948,0.01600000006146729,0.734000000054948,0.015999999945051968,0.75
min,0.0,0.29599999997299165,0.0,0.3119999999180436,0.0,0.3279999999795109
