,Pre Processing,Infrence,Post Processing,Internal Pipeline,Tracking Frames,Full Pipeline
average,0.00013020833321206738,0.04618437500030268,0.0010791666668713636,0.04758958333392608,0.00014583333334788524,0.060630480175067926
max,0.01600000006146729,0.0779999999795109,0.01600000006146729,0.0779999999795109,0.01600000006146729,0.07900000002700835
min,0.0,0.030999999959021807,0.0,0.030999999959021807,0.0,0.045999999972991645
