,Pre Processing,Infrence,Reloading CPU,Post Processing,Tracking Frames,Internal Pipeline,Full Pipeline
average,0.0003583029499504759,0.010918793503479527,0.0008349353662581,0.0009489559164735626,0.00015412661584329998,0.013298972489227574,0.019302587923031574
max,0.016000000000076398,0.032000000000152795,0.016000000000076398,0.032000000000152795,0.016000000000076398,0.047000000000025466,0.047000000000025466
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
