,Pre Processing,Infrence,Post Processing,Tracking Frames,Internal Pipeline,Full Pipeline
average,0.00023868312757151867,0.04699382716049511,0.0009279835390937594,0.00016049382716044143,0.04838683127572032,0.0598268041237115
max,0.016000000000076398,0.0929999999998472,0.016000000000076398,0.016000000000076398,0.0929999999998472,0.09400000000005093
min,0.0,0.03099999999994907,0.0,0.0,0.03099999999994907,0.04599999999982174
