,Pre Processing,Infrence,Post Processing,Tracking Frames,Internal Pipeline,Full Pipeline
average,0.00018116337414966332,0.13886107904761902,0.0012110810918365418,0.0003296685272106915,0.14061510363265306,0.1547305128150682
max,0.0009505840000016974,0.1865896659999997,0.0018218340000011324,0.0006169580000019437,0.18907758299999955,0.18812800000000074
min,0.0001255829999990965,0.12802366599999715,0.00020349999999780266,1.1583000002701738e-05,0.1299242079999985,0.14410662499999916
