,Pre Processing,Infrence,Post Processing,Tracking Frames,Internal Pipeline,Full Pipeline,Tracking Digit
average,0.0,0.009038461537924238,0.002423076923150802,0.0,0.020000000000156712,0.04166666666545401,0.012428571429024617
max,0.0,0.01600000000325963,0.01600000000325963,0.01600000000325963,0.04700000000593718,0.0629999999946449,0.031000000002677552
min,0.0,0.0,0.0,0.0,0.0,0.030999999995401595,0.0
