,Pre Processing,Infrence,Tracking Frames,Internal Pipeline,Full Pipeline,Tracking Digit
average,0.000227925139240492,0.03878126315189874,6.116821518979881e-05,0.04180395093670889,0.0506737445526315,0.04847296850000049
max,0.0005827500000004093,0.0556428750000002,0.0017475839999994136,0.15570049999999913,0.16601691700000032,0.11870008300000023
min,0.00013433400000018025,0.02595933400000039,1.0291999999800794e-05,0.026175666999999514,0.03339595899999992,0.04083170800000069
