,Pre Processing,Infrence,Post Processing,Tracking Frames,Internal Pipeline,Full Pipeline
average,0.0006512276785717626,0.009377232142857064,0.000967633928571386,0.0006810825892859132,0.01169949776785766,0.01644109436069154
max,0.016000000000076398,0.03099999999994907,0.016000000000076398,0.016000000000076398,0.03099999999994907,0.032000000000152795
min,0.0,0.0,0.0,0.0,0.0,0.0
