,Pre Processing,Infrence,Post Processing,Tracking Frames,Internal Pipeline,Full Pipeline,Tracking Digit
average,0.0,0.009653846153993912,0.0,0.0,0.018115384616136838,0.03650000000016007,0.013357142858045077
max,0.01600000000325963,0.01600000000325963,0.01600000000325963,0.0,0.04700000000593718,0.06199999999807915,0.01600000000325963
min,0.0,0.0,0.0,0.0,0.0,0.01600000000325963,0.0
