,Pre Processing,Infrence,Post Processing,Tracking Frames,Internal Pipeline,Full Pipeline,Tracking Digit
average,0.0,0.01138461538469598,0.0005769230769006894,0.0,0.021576923076981284,0.041666666666666664,0.013357142857005653
max,0.0,0.01600000000325963,0.01599999999598367,0.014999999999417923,0.0319999999992433,0.06199999999807915,0.01600000000325963
min,0.0,0.0,0.0,0.0,0.0,0.031000000002677552,0.0
