,Pre Processing,Infrence,Tracking Frames,Internal Pipeline,Full Pipeline,Tracking Digit
average,0.00023123284363957825,0.04260510556007064,5.196681890459262e-05,0.046397433256183764,0.05382137028495584,0.043366120366666885
max,0.0011161669999992796,0.09404012499999936,0.0028045409999961635,0.19672029199999486,0.2064290409999998,0.1529630419999961
min,0.00013262499999999733,0.028933834000000047,7.750000001749413e-06,0.029143249999999732,0.031290457999999965,0.04105566700000196
