,Pre Processing,Infrence,Post Processing,Tracking Frames,Internal Pipeline,Full Pipeline
average,0.0004065472859483802,0.009636821488408913,0.00223167319507815,0.0009037493003355616,0.013200895354869891,0.016315229562925193
max,0.01600000006146729,0.01600000006146729,0.01600000006146729,0.01600000006146729,0.03200000000651926,0.0470000000204891
min,0.0,0.0,0.0,0.0,0.0,0.0
