,Pre Processing,Infrence,Reloading CPU,Post Processing,Tracking Frames,Internal Pipeline,Full Pipeline
average,0.00042556857339770066,0.01139593383873141,0.001277050310131146,0.0007139903514813067,9.062715368692805e-05,0.01394176430048174,0.02020896551724663
max,0.016000000000076398,0.032000000000152795,0.016000000000076398,0.016000000000076398,0.016000000000076398,0.032000000000152795,0.047000000000025466
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
